Mega Millions Winning Numbers (NY Open Data),,,,,,,
Draw Date,,,,,,Megaball,Multiplier
10-07-2026,02,39,44,46,56,23,
07-07-2026,02,31,35,36,63,12,
03-07-2026,05,09,29,47,57,16,
30-06-2026,26,41,50,53,62,12,
26-06-2026,05,13,30,33,52,06,
23-06-2026,48,51,60,63,66,20,
19-06-2026,13,16,21,26,50,12,
16-06-2026,12,20,53,67,70,12,
12-06-2026,09,17,24,39,51,03,
09-06-2026,09,30,36,38,40,03,
05-06-2026,13,30,50,52,66,02,
02-06-2026,15,26,43,48,60,12,
29-05-2026,19,24,47,59,65,07,
26-05-2026,01,05,49,51,59,07,
22-05-2026,03,22,34,54,61,08,
19-05-2026,10,26,34,56,64,06,
15-05-2026,17,23,25,52,61,03,
12-05-2026,17,32,35,40,47,17,
08-05-2026,37,47,49,51,58,16,
05-05-2026,12,22,50,51,55,10,
01-05-2026,16,21,27,41,61,24,
28-04-2026,14,36,41,47,66,15,
24-04-2026,07,16,32,35,40,12,
21-04-2026,01,36,43,56,58,07,
17-04-2026,38,43,44,49,62,08,
14-04-2026,17,21,24,57,69,12,
10-04-2026,03,18,36,42,49,06,
07-04-2026,05,15,22,33,37,02,
03-04-2026,31,45,62,63,68,15,
31-03-2026,18,35,45,60,65,17,
27-03-2026,13,27,28,41,62,16,
24-03-2026,04,13,52,53,69,10,
20-03-2026,11,20,51,55,63,04,
17-03-2026,04,11,18,38,50,24,
13-03-2026,06,19,36,40,55,09,
10-03-2026,16,21,30,35,65,07,
06-03-2026,08,19,26,38,42,24,
03-03-2026,07,21,53,54,62,16,
27-02-2026,11,18,39,43,67,23,
24-02-2026,12,39,43,49,55,23,
20-02-2026,15,40,48,58,63,02,
17-02-2026,03,37,44,52,63,14,
13-02-2026,34,40,49,59,68,01,
10-02-2026,05,25,30,36,68,06,
06-02-2026,13,21,25,52,62,19,
03-02-2026,05,11,22,25,69,21,
30-01-2026,11,34,36,43,63,13,
27-01-2026,04,20,38,56,66,05,
23-01-2026,30,42,49,53,66,04,
20-01-2026,08,47,50,56,70,12,
16-01-2026,02,22,33,42,67,01,
13-01-2026,16,40,56,64,66,04,
09-01-2026,12,30,36,42,47,16,
06-01-2026,09,39,47,58,68,24,
02-01-2026,06,13,34,43,52,04,
30-12-2025,18,43,49,63,69,06,
26-12-2025,09,19,31,63,64,07,
23-12-2025,15,37,38,41,64,21,
19-12-2025,01,11,27,39,59,18,
16-12-2025,20,24,46,59,65,07,
12-12-2025,10,50,55,58,59,05,
09-12-2025,19,32,41,49,66,06,
05-12-2025,34,38,42,44,69,08,
02-12-2025,17,25,26,53,60,16,
28-11-2025,06,07,13,39,48,04,
25-11-2025,11,15,31,32,59,18,
21-11-2025,03,04,19,31,63,09,
18-11-2025,05,10,23,27,30,10,
14-11-2025,01,08,11,12,57,07,
11-11-2025,10,13,40,42,46,01,
07-11-2025,16,21,23,48,70,05,
04-11-2025,11,14,17,50,57,06,
31-10-2025,02,24,52,66,68,09,
28-10-2025,02,19,33,53,61,14,
24-10-2025,11,18,31,51,56,24,
21-10-2025,02,18,27,34,59,18,
17-10-2025,09,21,27,48,56,10,
14-10-2025,12,22,49,57,58,19,
10-10-2025,03,18,23,32,56,08,
07-10-2025,17,26,33,45,56,19,
03-10-2025,18,19,38,54,57,19,
30-09-2025,04,08,27,37,63,14,
26-09-2025,04,21,27,33,49,21,
23-09-2025,13,24,41,42,70,18,
19-09-2025,02,22,27,42,58,08,
16-09-2025,10,14,34,40,43,05,
12-09-2025,17,18,21,42,64,07,
09-09-2025,06,43,52,64,65,22,
05-09-2025,06,14,36,58,62,24,
02-09-2025,07,17,35,40,64,23,
29-08-2025,13,31,32,44,45,21,
26-08-2025,07,12,30,40,69,17,
22-08-2025,18,30,44,48,50,12,
19-08-2025,10,19,24,49,68,10,
15-08-2025,04,17,27,34,69,16,
12-08-2025,01,08,31,56,67,23,
08-08-2025,02,06,08,14,49,12,
05-08-2025,12,27,42,59,65,02,
01-08-2025,18,27,29,33,70,22,
29-07-2025,17,30,34,63,67,11,
25-07-2025,14,21,25,49,52,07,
22-07-2025,22,41,42,59,69,17,
