Wisconsin Lottery - Powerball Winning Numbers - Order Drawn,,,,,,,,
Draw Date,,,,,,PB,Power Play,Est. Jackpot
23-05-2026,41,4,66,48,16,26,2x,$131.00M
20-05-2026,10,57,46,30,28,25,3x,$113.00M
18-05-2026,13,4,34,61,65,12,2x,$100.00M
16-05-2026,44,37,65,40,8,18,3x,$86.00M
13-05-2026,67,22,52,56,31,15,2x,$69.00M
11-05-2026,64,24,56,37,30,7,3x,$57.00M
09-05-2026,41,15,47,46,56,22,2x,$47.00M
06-05-2026,51,65,18,27,68,5,3x,$30.00M
04-05-2026,30,42,60,63,36,13,2x,$20.00M
02-05-2026,25,65,52,37,42,14,3x,$20.00M
29-04-2026,51,19,3,67,35,15,2x,$143.00M
27-04-2026,18,31,36,33,62,3,3x,$130.00M
25-04-2026,36,30,57,52,4,2,3x,$118.00M
22-04-2026,49,63,32,24,29,11,2x,$100.00M
20-04-2026,17,47,9,64,36,26,3x,$87.00M
18-04-2026,39,25,24,46,61,1,5x,$75.00M
15-04-2026,21,13,27,43,45,26,5x,$58.00M
13-04-2026,38,43,64,59,63,15,3x,$45.00M
11-04-2026,49,47,60,6,53,6,2x,$35.00M
08-04-2026,42,3,52,16,17,3,2x,$20.00M
06-04-2026,42,57,24,37,7,5,2x,$231.00M
04-04-2026,13,65,41,6,3,1,4x,$217.00M
01-04-2026,11,10,52,64,4,24,3x,$194.00M
30-03-2026,7,57,11,31,41,20,2x,$180.00M
28-03-2026,61,42,11,43,59,25,4x,$166.00M
25-03-2026,7,56,21,64,55,26,4x,$147.00M
23-03-2026,63,56,18,12,47,1,10x,$133.00M
21-03-2026,12,59,36,28,41,2,2x,$120.00M
18-03-2026,18,69,14,19,21,1,3x,$101.00M
16-03-2026,10,20,7,52,47,20,2x,$88.00M
14-03-2026,50,9,42,30,52,21,3x,$75.00M
11-03-2026,58,63,6,55,3,12,2x,$58.00M
09-03-2026,22,54,23,28,36,13,3x,$46.00M
07-03-2026,17,68,30,18,50,24,3x,$35.00M
04-03-2026,14,47,42,7,56,6,4x,$20.00M
02-03-2026,18,17,38,62,2,20,2x,$249.00M
28-02-2026,54,65,20,35,6,10,4x,$238.00M
25-02-2026,50,54,56,52,64,23,2x,$218.00M
23-02-2026,29,11,5,23,47,6,2x,$203.00M
21-02-2026,36,49,28,48,27,21,4x,$190.00M
18-02-2026,9,64,52,66,33,1,2x,$169.00M
16-02-2026,18,58,16,19,56,6,3x,$154.00M
14-02-2026,58,60,64,43,23,24,2x,$146.00M
11-02-2026,33,40,20,6,48,5,2x,$126.00M
09-02-2026,22,19,28,6,48,24,5x,$113.00M
07-02-2026,42,36,25,51,58,6,2x,$102.00M
04-02-2026,37,30,29,27,58,15,2x,$80.00M
02-02-2026,60,65,3,8,31,4,2x,$65.00M
31-01-2026,2,40,14,63,8,23,3x,$57.00M
28-01-2026,21,35,68,40,46,11,10x,$43.00M
26-01-2026,31,60,21,63,51,18,2x,$30.00M
24-01-2026,2,63,16,61,35,5,3x,$20.00M
21-01-2026,11,27,55,53,26,12,2x,$209.00M
19-01-2026,5,55,34,28,37,17,3x,$193.00M
17-01-2026,57,8,5,49,27,14,4x,$179.00M
14-01-2026,24,6,51,43,39,2,2x,$156.00M
12-01-2026,5,45,59,27,56,4,2x,$137.00M
10-01-2026,5,64,19,28,21,14,3x,$124.00M
07-01-2026,57,28,15,58,63,23,2x,$105.00M
05-01-2026,51,4,56,18,24,14,2x,$86.00M
03-01-2026,60,53,18,21,40,23,3x,$64.00M
31-12-2025,21,11,38,24,18,26,10x,$45.00M
29-12-2025,11,19,34,53,48,21,2x,$33.00M
27-12-2025,62,5,34,39,20,1,2x,$20.00M
24-12-2025,25,59,4,52,31,19,2x,"$1,700.00M"
